Square_Feet,Bedrooms,Age,Price
1135,1,34,96636
2193,4,24,313100
5252,5,1,823957
8811,2,12,1328058
1330,4,8,211175
5677,6,19,879778
9432,5,9,1445051
8808,1,28,1278549
6449,2,14,955176
3338,4,27,475824
1650,2,18,218088
8060,5,42,1185943
2431,3,41,320684
9704,2,6,1465751
2164,2,33,291000
1581,6,37,216686
1012,1,42,60500
8305,5,25,1251824
5737,2,13,843359
1059,5,23,157965
4172,1,36,562871
7904,6,33,1197700
3843,5,21,587640
4570,1,34,628940
1080,1,36,106080
7504,4,17,1144547
8630,6,10,1322496
3647,6,23,555912
4749,5,44,692582
2179,3,2,355954
4006,4,35,568205
7753,6,14,1210810
3244,1,47,388127
9935,6,45,1453977
5688,3,41,811167
2641,2,2,415999
7117,2,19,1032269
2979,6,16,467774
6984,6,43,1010815
7921,4,44,1144738
4952,6,25,758090
6381,3,1,985159
7165,6,2,1142662
3349,5,48,437494
7890,3,27,1176802
7405,4,2,1141385
2989,5,30,451838
9707,5,10,1467056
5111,2,19,740140
3339,3,42,453894
9027,5,16,1359149
6378,4,13,974200
9587,2,48,1342587
6803,5,8,1045466
1351,3,31,186103
2187,2,45,240030
7333,3,25,1065856
2927,3,39,404357
4500,3,21,666430
5552,2,38,785429
3238,5,41,461475
6232,6,29,947198
5887,1,6,861101
8502,5,18,1294118
6036,2,49,809086
4413,1,44,583155
1566,1,35,177847
8223,1,27,1177546
4880,6,5,770616
4607,4,7,705595
6226,2,10,950358
3873,6,10,609434
9445,6,28,1401466
2582,4,36,358967
9467,1,10,1419250
7248,4,35,1041775
917,4,35,108506
8806,6,37,1297570
9308,2,48,1315837
4474,3,20,657446
3767,4,13,585990
1325,4,11,230155
8168,1,45,1134691
6245,1,19,901381
912,6,28,142734
8043,1,38,1147632
8087,5,45,1161953
1228,4,4,223386
7664,1,37,1077325
9367,2,19,1379120
6488,5,37,965309
3004,6,14,478668
3467,3,31,473600
3286,4,28,475067
1622,4,36,216743
4579,2,44,613538
2071,3,38,283001
5573,3,19,837498
5604,6,42,808713
2643,6,1,456739
7306,5,23,1098060
7857,4,28,1176399
3940,1,48,504309
4266,6,4,708752
6144,2,41,845795
3414,2,18,477111
5468,2,49,746486
6417,6,47,942131
9287,6,39,1367188
1228,2,25,160919
1865,6,18,316790
4992,1,6,746828
1198,1,19,147892
7686,5,12,1177000
895,4,25,110526
7900,1,35,1132551
8582,5,1,1322128
4671,3,5,733774
4860,4,1,760654
3002,1,8,424503
1217,3,39,134679
3282,5,47,434914
5446,1,43,754164
5986,1,18,864889
8835,6,46,1274829
5480,3,9,818876
7766,1,5,1149025
4991,2,4,745978
7692,6,44,1117496
6088,6,29,931347
8151,1,1,1226769
4136,6,30,624417
1667,4,45,206254
1562,3,1,261862
2656,4,3,436828
8360,5,22,1261497
5661,4,8,856522
5805,2,18,857897
7041,6,25,1063603
5229,6,48,762310
9848,2,20,1454397
7830,6,31,1186420
5834,4,30,836983
9424,5,16,1428251
4830,1,2,730555
8510,2,17,1245312
7301,4,10,1125595
5346,4,7,814462
7231,4,42,1027663
7741,1,9,1138327
1453,3,17,214419
3039,6,9,509079
7556,6,9,1184501
2042,5,37,290287
5793,3,24,854055
1691,6,39,239117
6813,5,11,1047383
7438,5,8,1147917
3181,4,25,478458
9909,2,46,1403339
2040,4,2,359235
6672,1,10,990159
6041,6,24,903305
1865,5,48,221711
9191,2,16,1370633
9202,6,19,1389486
7994,5,31,1174606
4812,5,11,760025
1824,4,6,289391
9847,2,6,1492647
3641,2,32,488920
7919,6,39,1159743
3986,5,48,557054
2310,2,13,344818
7088,2,3,1097133
3423,6,41,484964
5801,4,35,851508
4686,3,38,659338
9405,1,17,1404023
6477,3,3,1003006
4768,2,34,670831
5248,5,12,799007
5349,1,24,750606
9935,1,6,1483406
4209,5,42,589258
9773,1,11,1458385
7119,5,48,1006134
9147,1,27,1338482
9586,6,48,1396338
3572,6,24,562722
7030,3,18,1042727
1004,1,27,100865
1714,4,41,214288
2031,5,21,311254
8076,1,34,1161965
1323,6,33,205038
1428,6,48,190274
5529,5,18,840455
633,4,3,134740
2605,1,24,356108
4127,1,1,637994
6816,4,6,1052587
2352,4,19,338825
5410,4,22,815655
4675,6,43,679762
5848,5,8,907107
9942,4,5,1515769
6690,5,9,1053424
1756,3,47,193810
3876,1,21,566980
6145,1,28,864400
3986,2,46,532177
4084,3,4,617056
8553,4,24,1271540
3830,4,8,606392
3203,6,17,504190
9162,3,34,1328088
8620,4,20,1296845
7614,2,16,1117256
1853,5,10,296101
5563,1,34,782965
9049,3,43,1292337
8075,1,10,1193810
1167,5,30,147723
4968,3,30,702023
9837,5,25,1495194
7319,4,46,1054215
4219,4,43,605591
3245,4,41,433032
7983,5,7,1221506
1039,5,47,126664
5464,5,20,831291
5335,1,17,792708
4275,5,3,693851
6542,4,47,928313
7602,2,46,1083813
7812,5,40,1145207
5820,2,36,825660
6632,4,26,965439
8391,5,10,1289970
3279,1,34,413926
1424,1,14,182073
2081,2,8,306772
8214,6,27,1236908
3824,1,10,548896
6213,1,15,914901
7526,1,37,1067370
755,4,22,89655
5304,1,45,710945
2338,3,31,299097
509,5,2,117015
3371,1,45,420210
9489,6,31,1427726
7909,6,14,1218207
7918,1,10,1190206
5624,1,30,811357
1515,3,36,185560
2693,1,47,318278
8915,1,40,1285409
7949,5,15,1225340
4658,6,14,718530
4425,3,31,648518
7470,6,29,1121548
7438,3,27,1093448
5284,6,21,795993
4500,1,9,670885
2133,6,20,320553
7766,6,35,1141195
9202,3,15,1367403
884,2,24,109851
904,3,49,62146
8675,3,16,1294706
2500,3,36,331228
6489,4,11,986024
1960,4,8,298046
7690,4,3,1168319
7640,3,19,1154575
4136,2,46,547806
5309,3,41,725430
4678,1,3,688846
7745,2,36,1101676
7100,4,25,1050930
6497,6,36,957837
2548,6,11,439709
5280,5,16,824985
1216,2,17,151286
8439,4,42,1215194
6065,2,24,883768
5044,2,17,729893
5476,6,48,768406
3919,3,20,597576
7739,1,22,1131206
749,5,6,167261
9365,4,7,1425449
1270,2,14,190934
4863,5,11,755052
1577,2,12,222502
8927,6,46,1317539
9080,1,5,1374905
8401,6,5,1303531
5358,5,20,807593
7044,4,15,1074730
5219,2,26,761265
3314,1,33,440243
3874,6,30,593926
1752,5,24,245188
7496,6,23,1130516
5173,2,9,777756
5030,2,3,788280
7381,4,36,1060002
7449,1,48,1019977
6741,3,7,1036198
8517,6,22,1308300
7441,2,14,1115164
7502,5,48,1070360
1831,6,29,264859
4761,4,16,740347
8148,4,48,1158358
5615,2,34,792326
5137,2,10,754926
5354,2,7,808751
3677,3,25,535498
8230,2,27,1198579
2680,6,15,425978
5392,6,32,797505
7543,1,28,1092357
637,5,9,129381
6827,2,7,1018015
3972,6,16,614048
5949,6,26,903983
3332,6,35,499303
4079,3,17,595311
6471,5,23,981648
4664,4,8,716421
8441,6,2,1322020
6069,2,31,861760
4800,6,32,718185
6769,5,29,1006483
4318,4,3,685869
2406,3,8,378259
6754,1,2,1026500
1260,2,31,161173
8330,1,49,1152679
7850,3,37,1149843
6738,5,20,1036195
6590,5,29,966987
6531,3,17,970410
8187,6,10,1274489
9591,3,41,1393579
8972,2,22,1308091
2387,4,6,393522
3766,1,43,498303
1166,1,34,99401
4688,5,31,672955
1171,6,12,227808
7277,5,12,1103366
8070,2,16,1196100
8456,3,25,1261016
5624,1,22,791490
6085,2,27,869973
5277,5,24,798516
4400,5,12,673688
7177,1,18,1069818
7481,5,45,1101634
6876,6,47,1004953
1023,5,16,155196
2893,4,4,464529
3093,3,12,462964
7740,5,49,1129397
7437,4,33,1077316
6690,2,22,965647
5740,5,18,856063
6993,6,48,1001780
3378,2,33,450034
4643,5,27,682762
4144,1,42,552727
4932,4,19,757843
1776,4,48,191376
6311,1,14,920389
802,3,25,84369
1138,6,34,158304
555,4,24,69862
9217,2,38,1345720
8650,6,23,1291845
2625,4,5,441460
864,3,44,70926
7309,2,36,1033713
5121,6,24,763920
5626,2,36,780324
5622,1,5,835290
2146,5,39,281948
1418,1,6,219422
3297,6,45,476687
7006,5,36,1024473
6370,1,45,872334
2031,5,4,336204
8672,4,10,1333918
3845,2,1,602022
8173,5,21,1250722
7449,4,40,1068467
7382,3,39,1060362
2406,1,37,293528
3586,3,3,554915
8652,6,47,1248534
6250,4,31,910662
9405,3,27,1376409
1562,3,17,227095
2476,4,23,378981
1796,2,13,272317
6729,5,47,963464
8141,6,27,1213793
625,6,20,107019
5132,1,46,686158
6788,5,13,1055517
4096,1,44,548893
6668,6,24,1010521
8061,5,41,1157353
8758,3,3,1333418
732,2,43,60156
9861,3,10,1504454
6871,2,1,1050822
4706,4,49,636198
8443,1,13,1250645
7391,1,14,1106119
7238,4,33,1050111
2972,5,2,479625
3239,4,2,533088
5901,6,39,885892
2261,4,41,281240
1376,2,31,167740
4312,6,4,705951
1960,4,34,255252
2233,1,19,322264
2105,3,37,255486
6122,2,9,901972
7267,2,24,1042451
7486,5,13,1142222
4017,3,44,549727
4235,2,30,586441
9852,4,19,1496881
8934,2,41,1272765
3090,2,10,482547
1563,2,42,181963
4824,5,44,668567
9611,2,14,1450668
5842,2,40,821095
505,5,48,12988
7989,6,49,1148863
9159,3,20,1346588
8695,6,4,1341186
6466,1,38,918504
9337,5,44,1373356
617,5,39,46118
3051,2,5,478510
6060,2,42,829720
4789,1,32,652894
1346,2,6,215504
6816,4,14,1053693
6969,2,6,1049433
9833,2,14,1454885
9415,4,12,1438279
724,1,27,71185
4708,4,26,698098
6783,5,12,1046899
2548,4,8,392937
6733,3,10,1035258
2328,5,16,367403
2417,2,26,339609
4734,5,8,749548
7488,1,41,1048418
2526,1,45,298608
4244,4,29,615613
9593,5,20,1431936
509,2,17,66667
760,1,19,91382
6538,6,17,993185
2719,2,39,360354
7541,6,1,1192678
2560,3,29,347772
5787,6,14,890202
2119,1,17,286381
9012,4,13,1375878
1842,3,29,266935
3332,5,34,487719
3324,2,27,467500
2494,1,46,309494
3990,3,33,577530
9810,3,29,1425914
8484,1,37,1198953
2104,5,39,283159
735,5,19,114562
2408,4,46,316757
9067,6,24,1390058
4030,5,14,620553
5756,4,47,827290
3135,6,37,441243
8662,3,5,1318176
3060,1,24,409211
5915,5,34,862765
3891,4,31,557985
6451,3,30,919825
5968,5,9,909605
8507,2,27,1229391
9564,3,28,1412884
9944,5,42,1465602
6913,3,26,1020406
7441,1,18,1096410
5320,1,36,731963
3398,1,8,501689
8046,6,18,1229841
577,2,20,71569
8077,1,32,1153329
4727,2,29,669476
1100,1,49,87183
1565,6,48,179528
2636,3,18,405327
7443,5,7,1138845
8304,5,1,1308114
7065,1,28,999724
6484,5,33,941750
5642,1,4,840432
5170,1,20,743992
2690,4,36,388942
9684,4,31,1447364
3212,4,38,448266
2692,2,28,357350
1748,4,3,311594
4533,1,6,691208
2497,6,45,334037
4187,6,23,632323
4518,3,7,704631
2470,4,36,338255
8889,6,1,1385034
6265,4,6,974498
1702,3,24,228666
8635,6,37,1293113
6067,1,45,838379
8167,2,36,1190807
6242,4,24,934825
6288,6,38,943348
5908,6,45,874657
9169,3,29,1329026
9946,1,37,1413182
1422,5,45,179522
919,6,32,127226
2704,2,25,365031
1620,3,10,266370
1450,6,35,189437
2836,6,25,439905
5873,3,27,861551
2743,3,45,371030
3145,4,32,457005
5112,6,12,783867
2365,5,4,390151
6528,2,42,933220
7826,1,26,1125372
6871,1,3,1047797
6859,5,17,1050710
8363,3,9,1266581
3728,3,29,516396
4219,3,1,662366
2871,6,18,457074
3391,3,41,450531
4256,3,20,638993
4725,6,41,672009
594,6,34,85950
3174,5,28,481693
7398,4,48,1044161
1293,6,35,191634
2616,2,16,396090
6279,3,21,939674
6666,4,13,997287
1314,1,35,138926
845,5,42,87303
9054,4,32,1321059
2943,6,38,434829
8283,3,6,1263124
1484,3,38,166159
8290,3,38,1209752
1327,4,13,219154
4031,3,46,523201
7647,6,39,1109183
4951,4,13,743257
4376,3,47,583503
6459,1,12,964708
626,1,33,57267
3677,2,28,508922
9295,3,3,1436142
6524,3,18,986428
5609,4,26,823398
4646,4,40,667323
7696,3,2,1178970
3868,2,4,591249
4297,3,28,634488
2292,6,28,338719
6232,4,25,936480
3976,3,26,591274
3917,4,45,553739
2145,3,47,254053
9897,5,2,1545596
3530,4,42,483048
3372,2,34,454801
3572,5,30,538499
2354,6,21,379820
4521,3,44,633368
5162,6,37,750290
7014,4,44,996878
5531,5,23,848310
3208,6,33,477112
7612,2,2,1164598
8893,4,27,1303758
4007,5,48,544526
6956,6,22,1056006
4712,5,34,697740
8470,5,16,1291837
9266,6,20,1413320
1036,1,26,122990
2125,3,16,325806
8473,4,6,1280559
9077,4,45,1320847
8570,4,44,1245366
9166,5,23,1392891
9109,6,42,1324257
6990,3,37,999478
4100,2,8,624938
7283,4,6,1111393
9646,6,37,1418710
5471,3,22,824355
1705,3,6,275882
2490,1,32,317115
5799,6,17,885789
4072,4,38,584754
6475,5,17,967987
6820,3,37,979820
4880,3,23,708321
5257,2,49,723117
3213,1,49,378368
6088,3,13,899186
1466,3,32,199014
5444,5,22,841193
3932,5,7,639783
1188,2,22,156382
4743,6,21,741439
4201,2,6,651162
9033,2,14,1350392
5682,5,16,861543
7204,6,3,1114732
4922,5,9,765856
2259,1,47,252604
9681,4,21,1464005
2982,4,30,417139
8558,1,30,1234086
1451,4,42,167478
9414,6,42,1403771
2579,5,32,376056
3217,4,23,457444
5024,6,3,788865
8977,5,1,1397357
7811,6,3,1236793
7686,1,37,1078865
2565,2,7,401162
1268,1,3,206429
5990,4,36,879248
7145,5,49,1021840
5583,6,3,899491
5732,4,4,885174
6297,4,31,917925
9638,2,2,1444093
5426,4,14,817702
6516,2,37,939862
3835,5,31,558161
8538,5,2,1326764
5373,6,31,794605
1981,2,47,209560
6805,1,43,960915
3951,5,22,599031
554,6,10,136778
8143,1,30,1174420
3962,5,33,584621
1332,5,19,210307
6454,6,46,934335
9019,6,25,1355713
7721,3,46,1077765
3810,4,1,600082
3800,4,32,553338
7222,1,25,1032697
7718,4,41,1132494
8276,1,17,1227055
4175,5,14,667887
3554,3,45,471930
8470,3,13,1290580
2643,5,38,358464
5707,6,39,855837
3038,2,2,454916
5047,2,32,714909
6119,4,32,893903
8856,6,40,1299622
7112,1,6,1063708
5505,3,25,814443
1322,4,3,236182
1443,5,18,224053
6650,6,38,989383
4925,3,43,676090
9466,1,3,1422245
2698,1,48,321387
4742,2,5,730881
4195,4,24,638643
3952,5,34,582997
9606,3,47,1365192
1808,1,48,168648
4677,3,39,653178
9205,5,48,1329428
7352,3,24,1103615
6535,4,36,954727
4094,2,28,559314
5341,3,48,739140
1909,6,49,248360
5066,2,34,723464
4991,5,16,784897
2055,2,36,261328
1304,3,7,191772
1779,3,18,258120
7583,6,6,1193558
6486,1,28,922944
6119,6,39,886113
1887,3,34,245802
3179,2,41,406471
2606,6,29,379956
8673,6,4,1354287
4723,1,14,684695
5331,3,5,832326
3268,3,25,450460
3686,5,39,506252
3073,1,8,440193
3099,5,15,484240
4533,5,19,700144
8928,5,11,1378047
1804,4,20,269804
7868,5,36,1138366
6377,6,18,981860
1801,2,14,259589
3041,6,38,421404
2551,6,25,376936
7309,3,16,1082359
9133,4,18,1357957
9496,5,1,1467392
574,3,40,25823
7481,1,1,1138254
5975,1,1,898840
8732,3,21,1293438
7684,2,25,1128148
6296,3,27,912416
7641,3,10,1140894
2122,4,12,338981
8541,1,28,1252205
841,1,49,51920
2574,5,32,382339
8492,6,33,1278694
1145,3,8,196215
4763,3,42,653372
9301,2,26,1343234
6636,1,42,916773
9146,2,41,1295056
3469,4,2,576312
3528,5,35,527751
8143,2,34,1191913
3181,1,6,464803
4129,4,31,600148
4725,3,23,695818
3567,4,12,565837
6441,6,28,975823
1886,2,15,269055
3366,1,19,457470
5288,2,12,785400
5990,3,48,824269
4624,3,2,738521
8840,1,11,1313075
4350,6,44,628553
5915,5,37,853551
8179,4,38,1176357
7319,4,25,1105487
9828,3,43,1401855
8878,2,21,1306047
9942,2,42,1429353
1833,6,36,245442
4650,5,9,721804
7266,2,12,1105180
3211,4,10,513053
5353,2,46,748068
6712,5,5,1037682
7979,4,33,1188274
5908,2,5,884711
8215,4,16,1240949
9442,3,37,1373478
2262,3,37,293121
7601,6,29,1138565
8174,3,18,1200814
6622,2,29,944531
981,5,6,181942
653,4,18,89296
8117,1,32,1167674
2024,3,42,253648
2620,3,47,330415
2843,1,31,371961
5636,1,11,825431
6260,2,26,898215
1740,4,28,236851
560,3,27,73550
9630,5,19,1474568
2139,2,45,232028
6685,2,27,951156
8470,5,20,1279691
1752,5,3,305948
4703,6,16,744596
8863,5,39,1284174
4049,1,44,544653
4697,3,29,666690
7509,6,15,1159034
7167,1,30,1029290
2822,6,40,402830
4590,3,49,623462
7460,6,1,1158201
3504,1,29,467611
5636,4,30,841057
829,3,40,64901
4140,2,46,549606
8482,3,32,1230964
4607,3,10,685370
1841,3,27,235238
8907,4,8,1348714
838,1,36,44860
6395,2,42,885964
3208,1,35,405512
2250,6,36,326345
6104,6,48,878750
2921,6,36,441365
7619,1,25,1104878
9401,5,20,1431459
5819,4,45,839927
7109,5,17,1098614
5887,6,23,911534
4493,4,25,671409
9180,1,48,1292321
8544,6,49,1258040
8738,1,31,1240155
5373,4,6,827981
5306,1,35,738829
9092,1,4,1377937
6413,2,40,921744
7624,5,20,1162837
3657,5,41,533296
890,5,1,163971
4930,3,45,659867
9320,2,26,1359417
8186,6,34,1203274
4732,6,10,736573
8507,6,23,1284255
2021,5,49,271730
9518,5,24,1432069
2000,2,13,292581
7237,1,29,1051218
3794,5,46,523676
5585,6,27,826520
2919,1,31,403798
9626,5,43,1427347
3542,4,10,534906
4997,3,31,712228
1966,5,39,279925
4061,4,10,623538
1114,2,24,136134
5892,4,33,868720
8193,2,14,1236143
9874,5,35,1456111
3723,2,45,500797
7638,4,34,1128954
3167,3,17,484215
8480,1,21,1231106
630,1,32,42286
3483,3,3,543394
4778,6,15,735081
7626,1,8,1129107
8730,5,32,1304215
8194,6,38,1196471
7140,5,26,1080359
5968,4,30,891009
1420,4,9,221844
8064,6,32,1207382
9184,6,11,1431824
9823,6,22,1480326
9002,6,34,1345631
9430,2,41,1369674
3741,6,18,578294
1045,6,19,166399
4846,4,18,747545
4310,5,37,640919
7706,4,18,1152718
9505,1,12,1428630
2532,2,4,403573
8936,2,47,1283733
771,5,43,84780
4011,6,27,614366
2271,4,5,388395
9954,1,6,1502397
4861,4,13,742212
7569,6,23,1158842
1420,6,42,190325
8690,3,25,1273688
3930,4,46,518341
4935,5,4,772817
4260,4,32,631806
2550,2,44,329072
1665,1,15,218671
9067,5,26,1342399
2533,3,42,315605
6967,1,11,1027929
645,1,9,73696
4888,2,11,734702
8332,2,2,1275293
9123,2,45,1285107
9396,5,27,1398666
8673,4,26,1275190
3132,1,8,465150
4994,4,21,743740
8556,4,21,1294295
8011,2,8,1215501
9655,4,1,1478170
2328,1,38,277592
9630,1,13,1423417
5305,6,9,848393
1306,3,28,179127
7986,5,6,1239151
8702,4,47,1255538
2368,5,23,366923
8378,5,48,1225673
6190,5,36,915256
8327,6,17,1263563
5929,5,9,931575
9576,6,12,1456779
4064,1,22,566905
1889,4,12,311072
7774,6,6,1206248
1324,3,44,133501
2765,5,9,437638
1436,3,37,181499
6902,1,3,1040008
4345,1,34,601371
2296,2,8,358401
8745,5,10,1354321
7714,2,47,1077320
1226,3,41,136594
3236,4,42,437621
2413,2,43,315799
8157,1,9,1197921
2966,5,14,484684
9541,3,37,1406220
7812,6,27,1196950
8694,1,41,1234936
8406,6,32,1264061
5376,4,4,839580
7787,5,2,1209915
1392,4,33,181625
5175,4,21,781525
2433,5,1,393967
1880,5,44,244885
1790,6,11,322315
2140,4,1,349260
7990,3,46,1128357
9679,6,11,1506868
1718,5,7,302930
5516,1,2,838169
7381,6,15,1152364
1454,2,8,234592
9675,3,47,1390757
7791,6,26,1179329
1474,5,40,174787
4633,5,42,648814
5870,3,35,826627
4472,2,46,608273
5795,6,41,841084
9605,6,41,1407671
